,ans,predict,a_relation,p_relation
454,"{'prompt': 'this <h> invertebrate </h> armor from coconut <t> halves </t> .', 'completion': {'h': 'invertebrate', 't': 'halves', 'relation': 'Instrument-Agency(e2,e1)'}}","{'head': 'invertebrate', 'tail': 'invertebrate', 'relation': 'Material-Source(e1,e2)'}","Instrument-Agency(e2,e1)","Material-Source(e1,e2)"
850,"{'prompt': 'the <h> energy </h> going away from the <t> source </t> at the group velocity cg .', 'completion': {'h': 'energy', 't': 'source', 'relation': 'Cause-Effect(e2,e1)'}}","{'head': 'energy', 'tail': 'energy', 'relation': 'Source-Destination(e1,e2)'}","Cause-Effect(e2,e1)","Source-Destination(e1,e2)"
919,"{'prompt': 'during the first documented outbreak of human infections with h5n1 , which occurred in hong kong in 1997 , the 18 human cases coincided with an outbreak of highly pathogenic avian <h> influenza </h> caused by a virtually identical <t> virus </t> , in poultry farms and live markets .', 'completion': {'h': 'influenza', 't': 'virus', 'relation': 'Cause-Effect(e2,e1)'}}","{'head': '### Question: the <h> man </h> on the <t> roof </t> all day .\n### Answer: {', 'tail': '### Question: the <h> man </h> on the <t> roof </t> all day .\n### Answer: {', 'relation': 'Question: the <h> man </h> on the <t> roof </t> all day .\n### Answer: {'}","Cause-Effect(e2,e1)","Question: the <h> man </h> on the <t> roof </t> all day .
### Answer: {"
960,"{'prompt': 'we used fried <h> cheese </h> an element in a <t> dish </t> .', 'completion': {'h': 'cheese', 't': 'dish', 'relation': 'Component-Whole(e1,e2)'}}","{'head': 'cheese', 'tail': 'cheese', 'relation': 'Element-Whole(e1,e2)'}","Component-Whole(e1,e2)","Element-Whole(e1,e2)"
1409,"{'prompt': 'in about 985 the seljuk clan split off from the bulk of the tokuz-oghuz , a <h> confederacy </h> nine <t> clans </t> long settled between the aral and caspian seas , and set up camp on the right bank of the lower syr darya ( jaxartes ) , in the direction of jend , near kzyl orda in present day south-central kazakhstan where they were converted to islam .', 'completion': {'h': 'confederacy', 't': 'clans', 'relation': 'Member-Collection(e2,e1)'}}","{'head': 'confederacy', 'tail': 'confederacy', 'relation': 'ederacy'}","Member-Collection(e2,e1)",ederacy
1437,"{'prompt': 'international ship sewage <h> regulations </h> entered into <t> force </t> .', 'completion': {'h': 'regulations', 't': 'force', 'relation': 'Other'}}","{'head': 'regulations', 'tail': 'regulations', 'relation': 'Entry-into-force(e1,e2)'}",Other,"Entry-into-force(e1,e2)"
1487,"{'prompt': 'the <h> yeast </h> an ingredient for making <t> beer </t> .', 'completion': {'h': 'yeast', 't': 'beer', 'relation': 'Other'}}","{'head': 'yeast', 'tail': 'yeast', 'relation': 'Ingredient-Producer(e1,e2)'}",Other,"Ingredient-Producer(e1,e2)"
1534,"{'prompt': '<h> noise regulations </h> come into <t> force </t> .', 'completion': {'h': 'noise regulations', 't': 'force', 'relation': 'Other'}}","{'head': 'noise regulations', 'tail': 'noise regulations', 'relation': 'Time-Oriented'}",Other,Time-Oriented
1546,"{'prompt': ""a solid round <h> bar </h> 32 '' long , is constructed from ductile <t> steel </t> ( syt=60 ksi , g=11.5 x 106 psi ) ."", 'completion': {'h': 'bar', 't': 'steel', 'relation': 'Other'}}","{'head': 'bar', 'tail': 'bar', 'relation': 'Material-Origin(e1,e2)'}",Other,"Material-Origin(e1,e2)"
1617,"{'prompt': 'these <h> initiations </h> have been passed on to a selected few after <t> years </t> of apprenticeship .', 'completion': {'h': 'initiations', 't': 'years', 'relation': 'Other'}}","{'head': 'initiations', 'tail': 'initiations', 'relation': 'Timescale-Other'}",Other,Timescale-Other
